Wintershead sample 5 pollen,,,,,
,,,,,
Context,,402,402,407,420
Depth,,15cm,20cm,22cm,25cm
,,,,,
Trees,,,,,
Betula,,2,2,16,26
Pinus,,,,,
Quercus,,1,2,37,69
Alnus,,5,3,22,31
Corylus avellana type,,1,5,42,20
Erica,,54,25,11,3
Calluna,,58,27,15,8
,,,,,
Herbs,,,,,
Ranunculaceae undiff.,,2,24,16,15
Ranunculus type,,12,22,11,12
Brassicaceae,,12,15,12,10
Hornungia  type,,,5,2,1
cf Hypericum,,2,2,3,2
Caryophyllaceae,,5,3,4,1
Dianthus type,,,2,3,2
Chenopodiaceae,,1,5,2,3
Polygonum aviculare type,,8,2,2,5
Scrophulariaceae,,1,3,2,1
Rhinanthus type,,2,1,4,2
Lamiaceae indet.,,4,2,5,6
Plantago major type,,1,1,4,4
Plantago lanceolata,,1,1,4,3
Rubiaceae,,16,17,8,5
Bidens type,,1,21,2,4
Artemisia,,1,5,2,6
Lactucoideae,,23,27,10,12
Poaceae,,22,25,12,14
Cereal type,,,,17,
Large Poaceae (wild),,4,9,6,5
Cyperaceae,,2,12,8,5
Unidentified/degraded,,2,5,5,5
,,,,,
Ferns,,,,,
Dryopteris type,,10,10,7,9
Pteridium aquilinum,,18,16,6,11
Polypodium,,2,1,,
,,,,,
Moss and Liverwort,,,,,
Sphagnum,,27,,,
,,,,,
Total number of grains counted,,300,300,300,300
