Wintershead sample 6 pollen,,,,,
,,,,,
Context,,422,,,
Depth,,6cm,,,
,,,,,
Trees,,,,,
Betula,,27,,,
Pinus,,13,,,
Quercus,,89,,,
Alnus,,41,,,
Corylus avellana type,,20,,,
Erica,,,,,
Calluna,,,,,
,,,,,
Herbs,,,,,
Ranunculaceae undiff.,,1,,,
Ranunculus type,,2,,,
Brassicaceae,,2,,,
Hornungia  type,,,,,
cf Hypericum,,1,,,
Caryophyllaceae,,1,,,
Dianthus type,,2,,,
Chenopodiaceae,,1,,,
Polygonum aviculare type,,1,,,
Scrophulariaceae,,2,,,
Rhinanthus type,,2,,,
Lamiaceae indet.,,3,,,
Plantago major type,,1,,,
Plantago lanceolata,,6,,,
Rubiaceae,,5,,,
Bidens type,,4,,,
Artemisia,,2,,,
Lactucoideae,,3,,,
Poaceae,,10,,,
Cereal type,,,,,
Large Poaceae (wild),,6,,,
Cyperaceae,,1,,,
Unidentified/degraded,,2,,,
,,,,,
Ferns,,,,,
Dryopteris type,,4,,,
Pteridium aquilinum,,6,,,
Polypodium,,16,,,
,,,,,
Moss and Liverwort,,,,,
Sphagnum,,27,,,
,,,,,
Total number of grains counted,,301,,,
