Depth (CM),Clay,Silt ,Sand,Organic content (LOI,Mag sus
0CM,9.325095,30.426953,60.247952,9.642346209,1.09E-07
1CM,13.668888,42.130221,44.20089,6.651078202,5.13E-07
2CM,9.79859,33.717661,56.48375,9.493293592,8.86E-07
3CM,11.630471,39.560038,48.809492,7.22799511,1.95E-07
4CM,14.282212,41.61975,44.098038,6.247939334,2.08E-07
5CM,11.595498,37.951162,50.45334,6.771685761,3.41E-07
6CM,9.659523,30.303388,60.037089,6.158256881,6.61E-07
7CM,15.742587,42.606704,41.65071,6.21171107,6.10E-07
8CM,8.970995,29.979679,61.049325,5.842791089,7.11E-07
9CM,10.059461,34.450598,55.489942,10.24955437,5.94E-07
10CM,9.954606,33.452658,56.592734,5.08227919,4.51E-07
11CM,10.670561,38.319046,51.010394,8.945538818,7.15E-07
12CM,17.766531,45.363829,36.86964,5.698184095,5.16E-07
13CM,11.994017,44.029928,43.976056,6.18556701,5.76E-07
