Sample Name,Clay,Silt,Sand,Organic content %,Mag sus
SBM 0cm - Average,2.432863,20.875179,76.691957,17.49435666,1.45E-06
SBM 1cm - Average,5.094355,33.857649,61.047996,20.75887933,1.24E-05
SBM 2cm - Average,2.264043,20.134433,77.601524,12.7005804,2.04E-06
SBM 3cm - Average,3.753111,27.854208,68.392681,12.7424569,9.36E-06
SBM 4cm - Average,3.439663,27.113164,69.447173,8.459979737,2.92E-06
SBM 5cm - Average,6.372539,34.904926,58.722536,8.386038885,7.38E-06
SBM 6cm - Average,4.417739,34.83592,60.74634,7.660130719,2.70E-06
SBM 7cm - Average,5.846047,36.090116,58.063836,7.916666667,5.35E-06
SBM 8cm - Average,7.937621,46.217004,45.845373,3.785803238,4.72E-07
SBM 9cm - Average,7.21675,55.433015,37.350235,3.682719547,5.11E-07
SBM 10cm - Average,8.064923,49.39085,42.544228,3.543674231,3.21E-07
SBM 11cm - Average,11.091847,55.011279,33.896873,1.792215066,1.70E-07
SBM 12cm - Average,11.408289,54.822169,33.769542,2.403035413,8.23E-08
SBM 13cm - Average,8.232247,43.292759,48.474994,2.559286217,9.07E-08
